item,calories,fat,carb,fiber,protein,type
8-Grain Roll,350,8.0,67,5,10,bakery
Apple Bran Muffin,350,9.0,64,7,6,bakery
Apple Fritter,420,20.0,59,0,5,bakery
Banana Nut Loaf,490,19.0,75,4,7,bakery
Birthday Cake Mini Doughnut,130,6.0,17,0,0,bakery
Blueberry Oat Bar,370,14.0,47,5,6,bakery
Blueberry Scone,460,22.0,61,2,7,bakery
Bountiful Blueberry Muffin,370,14.0,55,0,6,bakery
Butter Croissant ,310,18.0,32,0,5,bakery
Cheese Danish,420,25.0,39,0,7,bakery
Chocolate Chunk Cookie,380,17.0,51,2,4,bakery
Chocolate Cinnamon Bread,320,12.0,53,3,6,bakery
Chocolate Croissant,300,17.0,34,2,5,bakery
Chocolate Old-Fashioned Doughnut,420,21.0,57,2,5,bakery
Chonga Bagel,310,5.0,52,3,12,bakery
Cinnamon Chip Scone,480,18.0,70,3,7,bakery
Cranberry Orange Scone,490,18.0,73,2,8,bakery
Double Chocolate Brownie,410,24.0,46,3,6,bakery
Double Fudge Mini Doughnut,130,7.0,16,0,0,bakery
Everything with Cheese Bagel,280,2.0,56,2,10,bakery
Ginger Molasses Cookie,360,12.0,58,0,3,bakery
Iced Lemon Pound Cake,490,23.0,67,0,5,bakery
Mallorca Sweet Bread,420,25.0,42,0,7,bakery
Maple Oat Pecan Scone ,440,18.0,59,3,8,bakery
Marble Pound Cake,350,13.0,54,0,6,bakery
Marshmallow Dream Bar,210,4.0,43,0,0,bakery
Morning Bun,350,16.0,45,2,6,bakery
Multigrain Bagel,300,3.0,60,6,15,bakery
Old-Fashioned Glazed Doughnut,420,21.0,57,0,4,bakery
Outrageous Oatmeal Cookie,370,14.0,56,3,5,bakery
Petite Vanilla Bean Scone,140,5.0,21,0,0,bakery
Plain Bagel,280,1.0,59,2,9,bakery
Pumpkin Bread,390,14.0,61,2,6,bakery
Pumpkin Scone ,480,17.0,78,2,6,bakery
Raspberry Scone,480,25.0,59,3,8,bakery
Raspberry Swirl Pound Cake,430,16.0,69,0,4,bakery
Reduced-Fat Banana Chocolate Chip Coffee Cake,400,8.0,80,4,5,bakery
Reduced-Fat Cinnamon Swirl Coffee Cake,340,9.0,62,2,4,bakery
Reduced-Fat Very Berry Coffee Cake ,350,10.0,59,4,7,bakery
Starbucks Classic Coffee Cake,440,19.0,63,0,6,bakery
Zucchini Walnut Muffin ,490,28.0,52,2,7,bakery
Cheese & Fruit,480,28.0,39,6,18,bistro box
Chicken & Hummus,270,8.0,29,6,16,bistro box
Chicken Lettuce Wraps,360,19.0,32,4,17,bistro box
Chipotle Chicken Wraps,380,15.0,35,6,26,bistro box
Protein,380,19.0,37,5,13,bistro box
Salumi & Cheese,420,26.0,22,3,25,bistro box
Sesame Noodles,350,11.0,50,6,15,bistro box
Tuna Salad,380,21.0,25,5,23,bistro box
Apple Pie,180,7.0,27,0,2,petite
Birthday Cake Pop,170,9.0,22,0,0,petite
Brown Sugar Walnut Tart,190,12.0,24,0,2,petite
Cherry Pie,170,7.0,24,0,2,petite
Chocolate Creme Whoopie Pie,190,11.0,23,0,0,petite
Chocolate Hazelnut Tart,180,10.0,23,0,2,petite
Raspberry Truffle Cake Pop,160,8.0,24,0,2,petite
Red Velvet Whoopie Pie,190,11.0,21,0,0,petite
Tiramisu Cake Pop,170,9.0,22,0,0,petite
Bacon & Gouda Artisan Breakfast Sandwich,350,18.0,30,0,17,hot breakfast
Chicken Sausage Breakfast Wrap,300,10.0,33,5,14,hot breakfast
Ham & Cheddar Artisan Breakfast Sandwich,350,16.0,31,0,20,hot breakfast
Sausage & Cheddar Classic Breakfast Sandwich,500,28.0,41,0,19,hot breakfast
Spinach & Feta Breakfast Wrap,290,10.0,33,6,19,hot breakfast
Starbucks Perfect Oatmeal,140,2.5,25,4,5,hot breakfast
Turkey Bacon & White Cheddar Classic Breakfast Sandwich,320,7.0,43,3,18,hot breakfast
Veggie & Monterey Jack Artisan Breakfast Sandwich,350,18.0,30,0,17,hot breakfast
Deluxe Fruit Blend,80,0.0,20,2,0,salad
Chicken Santa Fe Panini,400,11.0,47,2,26,sandwich
Egg Salad Sandwich ,460,27.0,37,5,22,sandwich
Ham & Swiss Panini,360,9.0,43,2,28,sandwich
Roasted Tomato & Mozzarella Panini,390,18.0,44,3,15,sandwich
Roasted Vegetable Panini,350,12.0,48,4,13,sandwich
Tarragon Chicken Salad Sandwich,420,13.0,46,6,32,sandwich
Turkey & Swiss Sandwich,390,13.0,36,2,34,sandwich
Greek Yogurt Honey Parfait,300,12.0,44,0,8,parfait
Peach Raspberry Yogurt Parfait,300,4.0,57,3,10,parfait
Strawberry & Blueberry Yogurt Parfait,300,3.5,60,3,7,parfait
